"V1","V2","V3","V4","V5"
-0.125022708299232,-0.125022708299232,-0.125022708299232,-0.125022708299232,-0.125022708299232
-0.122544454654107,-0.122544454654107,-0.122544454654107,-0.122544454654107,-0.122544454654107
-0.120894219927944,0.0182575073898753,-0.120894219927944,-0.120894219927944,-0.120894219927944
-0.119868554163352,-0.155304040774749,-0.0429807751918333,-0.119868554163352,-0.119868554163352
-0.11919303861826,-0.143337793637901,-0.137561107788051,-0.11919303861826,-0.11919303861826
-0.118774213301081,-0.134020635833895,-0.1310946623202,-0.118774213301081,-0.118774213301081
-0.118499794003911,-0.128640396394463,-0.126200054446679,-0.118499794003911,-0.118499794003911
-0.11834710841822,-0.124675624321824,-0.123433033518732,-0.11834710841822,-0.11834710841822
-0.118303230955184,-0.122461170932607,-0.121461510169249,-0.118303230955184,-0.118303230955184
-0.118337291397932,-0.120650072487263,-0.120404479524271,-0.118337291397932,-0.118337291397932
-0.118450072496865,-0.119105213165729,-0.119594831207858,-0.118450072496865,-0.118450072496865
-0.118619649118941,-0.118083291400464,-0.118938978367283,-0.118619649118941,-0.118619649118941
-0.118851595052492,-0.117113629026559,-0.118577274028791,-0.118851595052492,-0.118851595052492
-0.119124813627913,-0.116521634675943,-0.118251641010733,-0.119124813627913,-0.119124813627913
-0.119444744813059,-0.115897720396362,-0.118137903690746,-0.119444744813059,-0.119444744813059
-0.119785587157259,-0.115620183728809,-0.118004569690804,-0.119785587157259,0.0254808308674762
-0.120148955354989,-0.115290962599526,-0.117974673611295,-0.120148955354989,-0.157549070297453
-0.120536620082995,-0.11537775543279,-0.118104368468446,-0.0698302312398531,-0.145945959142002
-0.120950527115404,-0.11546947137265,-0.118352044992604,-0.13269503974233,-0.136917206335551
-0.121392819338034,0.0513076351776958,-0.11861726205194,-0.129200260216112,-0.131929793411878
-0.121865862189468,-0.16055082618955,-0.118901571693711,-0.126615809109874,-0.128334438591871
-0.122372273169054,-0.146474567155961,-0.0391413592929365,-0.125543416311875,-0.126510734005862
-0.122914956192426,-0.135361115813365,-0.138759700913847,-0.124843005477337,-0.125056378622514
-0.123497141751164,-0.123709258358331,-0.132741063450945,-0.12471729512614,-0.123746653470169
-0.124122434055188,-0.125441220004493,-0.128251279545541,-0.124740218463723,-0.123138236985686
-0.124794866618138,-0.122441774645931,0.0367497636803839,-0.124866435963321,-0.0839213315996614
-0.125518968105714,-0.119965491146216,-0.165936164628246,0.0523763001278724,-0.0929510530607937
-0.126299840729477,-0.044902880281023,0.0104116711257942,-0.171921775727275,-0.136028468858264
-0.127143254067792,-0.133987244724239,-0.178532327032486,-0.157836486876931,-0.131105013107171
-0.128055757977685,-0.126855784336508,-0.161004523455947,-0.146600141610174,0.0345556566644286
-0.129044819290666,-0.121536359222515,-0.146904339985147,-0.14046015712581,-0.166874875135745
-0.130118988352075,-0.11806976442787,-0.138640602622904,-0.136003402277887,-0.153192550850783
-0.131288103294518,-0.115693308762758,-0.13216837071706,-0.133949495896308,-0.14249091116768
-0.132563542413958,-0.114048540646971,-0.127926508745243,-0.132363273306636,-0.136304169059422
-0.133958538406383,-0.113073965389985,-0.124636153964579,-0.131060863391078,-0.131755035850079
-0.135488572911998,-0.112198967138745,-0.121531494905055,-0.130467272146465,-0.129284047003325
-0.137171876381207,-0.11155476478994,-0.119591567288119,-0.129900521137373,-0.127284923158015
-0.139030067597098,-0.110912141264107,-0.117577081035282,-0.12989035781948,-0.0891120545440011
-0.141088980608365,-0.110436522937157,-0.11639233617082,-0.129826840049663,-0.132761717423468
-0.143379746450392,-0.109930459511925,-0.115066806930243,-0.130342155369065,-0.129056016141567
-0.145940226221726,-0.0183315555981738,0.0373642512952173,-0.1308367547396,-0.126534538631188
-0.0539123644593739,-0.132155190987231,-0.0707166758127879,-0.132070776795121,-0.124957506351098
